TRADE_DT,EXPIRY,EXPIRY_CODE,MODEL,10CALL,25CALL,75PUT,90PUT,ATM,SKEW_25D,BF_25D,SKEW_10D
2026-06-05,2026-06-22,2606,QUADRATIC,0.25716292256351836,0.25052805192982014,0.2557706871856604,0.2682302275798269,0.24995524684888604,-0.005242635255840233,0.003194122708854219,-0.011067305016308537
2026-06-05,2026-07-17,2607,QUADRATIC,0.2727866928334494,0.2699210925134153,0.2837258589245348,0.30195518029148255,0.27367318366451976,-0.013804766411119496,0.0031502920544552726,-0.029168487458033132
2026-06-05,2026-08-21,2608,QUADRATIC,0.2780526354314268,0.2577766504696367,0.30743516282926225,0.48030304610366803,0.2677108657634935,-0.04965851235962554,0.014895040885956001,-0.20225041067224125
2026-06-05,2026-09-18,2609,QUADRATIC,0.3029698927358211,0.28189569087965366,0.2802713152734441,0.29817665633686274,0.2749074441401177,0.0016243756062095382,0.006176058936431195,0.004793236398958345
2026-06-05,2026-12-18,2612,QUADRATIC,0.29321975601639555,0.28232137421049125,0.2783433194099711,0.2846423696175265,0.2771290992103956,0.003978054800520159,0.0032032475998355903,0.008577386398869069
2026-06-05,2027-03-19,2703,QUADRATIC,0.2695455357600826,0.25978282085707466,0.29208281386679563,0.35249501080159606,0.26929368405439746,-0.03229999300972097,0.006639133307537681,-0.08294947504151345
2026-06-08,2026-06-22,2606,QUADRATIC,0.3047691894006541,0.2913427060935127,0.2905194310316035,0.3028314833159748,0.28654556938537556,0.0008232750619092122,0.004385499177182561,0.0019377060846793026
2026-06-08,2026-07-17,2607,QUADRATIC,0.2946648259315768,0.284986125491093,0.30528395751768683,0.34242771436493635,0.2885888249046604,-0.020297832026593854,0.006546216599729482,-0.047762888433359574
2026-06-08,2026-08-21,2608,QUADRATIC,0.28865666697334463,0.2748867368125366,0.30955468161507393,0.3852359161440357,0.2822209388878726,-0.03466794480253732,0.009999770325932689,-0.09657924917069105
2026-06-08,2026-09-18,2609,QUADRATIC,0.2976184806690644,0.2832452613291391,0.28415682496530087,0.29911722816326747,0.27894895347751353,-0.000911563636161794,0.004752089669706472,-0.0014987474942030898
2026-06-08,2026-12-18,2612,QUADRATIC,0.2908371289713315,0.2804335758095866,0.2744074181435705,0.278244693473045,0.2745391592607995,0.006026157666016108,0.002881337715779031,0.012592435498286536
2026-06-08,2027-03-19,2703,QUADRATIC,0.28644391878288666,0.2629440191838017,0.290195159884526,0.36167495526961907,0.2672089948277916,-0.027251140700724263,0.009360594706372294,-0.0752310364867324
2026-06-09,2026-06-22,2606,QUADRATIC,0.2813971454202403,0.27299204866141846,0.2768821863334057,0.28959915657041174,0.2713669333465301,-0.0038901376719872593,0.0035701841508820054,-0.00820201115017144
2026-06-09,2026-07-17,2607,QUADRATIC,0.26674858023699016,0.2598597498209539,0.28299504260834674,0.321893431695043,0.26516865164714865,-0.023135292787392847,0.0062587445675016395,-0.05514485145805281
2026-06-09,2026-08-21,2608,QUADRATIC,0.25620756154591,0.24881096544076975,0.3029990485007293,0.4410718165231933,0.2634790143822669,-0.054188083059959535,0.012425992588482593,-0.18486425497728332
2026-06-09,2026-09-18,2609,QUADRATIC,0.28864730666367083,0.2776874543498001,0.2810376509513059,0.2955760006483635,0.2752939035824892,-0.003350196601505817,0.004068649068063812,-0.0069286939846926465
2026-06-09,2026-12-18,2612,QUADRATIC,0.28263543902129734,0.27614430640342524,0.2711984507658286,0.27271405618822553,0.27189495649726053,0.004945855637596641,0.0017764220873663916,0.009921382833071812
2026-06-09,2027-03-19,2703,QUADRATIC,0.25972840842789535,0.249809547353217,0.29736726875840713,0.40288252563776505,0.26443189491943,-0.04755772140519013,0.009156513136382105,-0.1431541172098697
2026-06-10,2026-06-22,2606,QUADRATIC,0.29206360086774097,0.28266278222797053,0.285951195014848,0.29899673251088565,0.2805069838665098,-0.0032884127868774704,0.0038000047548994442,-0.0069331316431446854
2026-06-10,2026-07-17,2607,QUADRATIC,0.27001285621043714,0.266005579121765,0.2914304381399535,0.32896808045739867,0.2730459884098997,-0.025424859018188528,0.005672020220959584,-0.058955224246961535
2026-06-10,2026-08-21,2608,QUADRATIC,0.2643897357417222,0.2571103308313713,0.30570875797149655,0.41262366120312827,0.2703816315688201,-0.048598427140125244,0.01102791283261384,-0.14823392546140607
2026-06-10,2026-09-18,2609,QUADRATIC,0.29232095103735767,0.2816493217079595,0.28510370441337785,0.2994607505525203,0.27937819275923853,-0.0034543827054183684,0.003998320301430158,-0.007139799515162637
2026-06-10,2026-12-18,2612,QUADRATIC,0.28413652889261193,0.2782573587381463,0.2752553884851821,0.2780642899510702,0.27500296289726417,0.00300197025296417,0.0017534107143999944,0.006072238941541741
2026-06-10,2027-03-19,2703,QUADRATIC,0.2682888189776894,0.2539468950027693,0.30158032827190223,0.4186395919179553,0.26748152161293626,-0.04763343326913294,0.010282090024399504,-0.1503507729402659
2026-06-11,2026-06-22,2606,QUADRATIC,0.28517209867319115,0.2756164210799934,0.2776632500689386,0.2894506679442057,0.2729947708346563,-0.002046828988945204,0.0036450647398097447,-0.004278569271014554
2026-06-11,2026-07-17,2607,QUADRATIC,0.2742713323586059,0.26765488898905687,0.2910525017049824,0.32951267165796005,0.2731499078654928,-0.023397612715925553,0.006203787481526835,-0.05524133929935415
2026-06-11,2026-08-21,2608,QUADRATIC,0.26992850442875976,0.2628499995030429,0.3143778146497828,0.42929031016218017,0.27710468487063566,-0.05152781514673993,0.011509222205777214,-0.1593618057334204
2026-06-11,2026-09-18,2609,QUADRATIC,0.2972638571820447,0.2847046319224536,0.2860945030806706,0.29988866737587405,0.28109615193118564,-0.001389871158216982,0.004303415570376445,-0.0026248101938293744
2026-06-11,2026-12-18,2612,QUADRATIC,0.28635229085499037,0.28096871617357716,0.2775490220045799,0.2795134757110771,0.2777004096369202,0.0034196941689972338,0.0015584594521583228,0.006838815143913268
2026-06-11,2027-03-19,2703,QUADRATIC,0.2766290633772908,0.25534733300522366,0.30396909917706083,0.4451553526223352,0.2675933767054158,-0.048621766171837166,0.0120648393857265,-0.16852628924504437
2026-06-12,2026-06-22,2606,QUADRATIC,0.263854610708956,0.25738897626091894,0.26157240179218966,0.272593229917589,0.25649092048479194,-0.0041834255312707125,0.002989768541762361,-0.008738619208633003
2026-06-12,2026-07-17,2607,QUADRATIC,0.2691523271376705,0.26167244803827305,0.2768706077772405,0.3035282213576255,0.26422508723796173,-0.015198159738967432,0.005046440669795038,-0.03437589421995502
2026-06-12,2026-08-21,2608,QUADRATIC,0.27253093509257315,0.2625032775971856,0.2889684800811961,0.33935882096999254,0.26821068582185437,-0.026465202484010464,0.007525193017336451,-0.06682788587741939
2026-06-12,2026-09-18,2609,QUADRATIC,0.29496853393318084,0.283653103792687,0.2843920474889585,0.29624128081787604,0.28016017593980413,-0.0007389436962715323,0.0038623997010186484,-0.0012727468846951973
2026-06-12,2026-12-18,2612,QUADRATIC,0.28435956411333474,0.2796698270104635,0.2768892827933662,0.2788197287359305,0.27689389121185476,0.0027805442170972805,0.0013856636900601016,0.005539835377404212
2026-06-12,2027-03-19,2703,QUADRATIC,0.2700003121875353,0.26093540667497545,0.29148871169543444,0.3467815811426279,0.2699760097455096,-0.030553305020459,0.006236049439695357,-0.07678126895509263
2026-06-15,2026-06-22,2606,QUADRATIC,0.2965229757348499,0.29426098971477527,0.30667073204449374,0.32218427527198146,0.2975188575770898,-0.012409742329718476,0.002947003302544715,-0.025661299537131532
2026-06-15,2026-07-17,2607,QUADRATIC,0.27153620423770464,0.26689064801840207,0.280683376726096,0.3013428492842204,0.2699307990273561,-0.013792728707693935,0.0038562133448928892,-0.029806645046515756
2026-06-15,2026-08-21,2608,QUADRATIC,0.31613913227286106,0.32266765504519895,0.25574050639627194,0.21759661679405015,0.2955163597258481,0.06692714864892702,-0.006312279005112664,0.0985425154788109
2026-06-15,2026-09-18,2609,QUADRATIC,0.29379154747116376,0.2806254424340262,0.2844663190551808,0.30184539402545374,0.2777594875372326,-0.003840876621154621,0.004786393207370898,-0.008053846554289978
2026-06-15,2026-12-18,2612,QUADRATIC,0.281767845511011,0.2760331128117017,0.27802698618958455,0.28572108622105746,0.2748514192571643,-0.001993873377882871,0.002178630243478863,-0.003953240710046491
2026-06-15,2027-03-19,2703,QUADRATIC,0.3067073439597171,0.41105972963448845,0.15863203369145235,0.09903511808071162,0.3250015310591329,0.2524276959430361,-0.04015564939616245,0.20767222587900547
2026-06-16,2026-06-22,2606,QUADRATIC,0.2805558992048203,0.28471308733760536,0.30795035432085155,0.32792498378606033,0.2938561709871773,-0.023237266983246185,0.002475549842051117,-0.047369084581240006
2026-06-16,2026-07-17,2607,QUADRATIC,0.2796348593601873,0.2728029951542394,0.28651491770721477,0.3098882414582815,0.2750737896475041,-0.013711922552975375,0.00458516678322296,-0.030253382098094195
2026-06-16,2026-08-21,2608,QUADRATIC,0.34675183535056603,0.32250576590311936,0.26571520705916774,0.2426612142891008,0.29101342921701884,0.05679055884395162,0.0030970572641247363,0.10409062106146522
2026-06-16,2026-09-18,2609,QUADRATIC,0.3050980869968091,0.28832192038176746,0.2902509163038645,0.30876634122998153,0.2837350001595823,-0.0019289959220970543,0.005551418183233681,-0.0036682542331724077
2026-06-16,2026-12-18,2612,QUADRATIC,0.29081770072476565,0.282573582891014,0.27957735275934464,0.28453766864546687,0.2785748976956531,0.0029962301316693307,0.0025005701295262583,0.006280032079298781
2026-06-16,2027-03-19,2703,QUADRATIC,0.301446644757589,0.40787267711267683,0.18218891497099327,0.1131573845248259,0.3623035420478031,0.22568376214168356,-0.06727274600596805,0.18828926023276307
2026-06-17,2026-06-22,2606,QUADRATIC,0.2682738181833909,0.2754469985421001,0.3039718590330612,0.3259345131579921,0.2874436537503436,-0.02852486049096109,0.002265775037237072,-0.05766069497460119
2026-06-17,2026-07-17,2607,QUADRATIC,0.29068357866907213,0.279738568191326,0.2885571525170323,0.31023409175881894,0.27905910035630865,-0.008818584325706313,0.005088759997870507,-0.019550513089746813
2026-06-17,2026-08-21,2608,QUADRATIC,0.35460596361119273,0.33668759223100936,0.27396543059405043,0.24579124446536293,0.30386322384843406,0.06272216163695893,0.0014632875640958054,0.1088147191458298
2026-06-17,2026-09-18,2609,QUADRATIC,0.30036786561172424,0.2881413806569979,0.29733192921506824,0.3206116211904636,0.2875147149137692,-0.009190548558070333,0.005221940022263893,-0.020243755578739364
2026-06-17,2026-12-18,2612,QUADRATIC,0.2884879777962521,0.2775023241485623,0.2791377958541233,0.2915861020237598,0.27456720244403426,-0.001635471705560998,0.003752857557308531,-0.0030981242275076593
2026-06-17,2027-03-19,2703,QUADRATIC,0.29782363177690563,0.4056345289291455,0.14269359757326613,0.08795489819277738,0.3133038568649699,0.26294093135587937,-0.03913979361376413,0.20986873358412825
2026-06-18,2026-06-22,2606,QUADRATIC,0.25367228608473996,0.26245190933265394,0.29265944810845906,0.3140664177479644,0.27562239957262463,-0.03020753877580512,0.001933279147931899,-0.06039413166322444
2026-06-18,2026-07-17,2607,QUADRATIC,0.2668784240796754,0.26126926322317284,0.27578435048760447,0.2988742747595006,0.264178011476029,-0.014515087264431625,0.004348795379359671,-0.031995850679825244
2026-06-18,2026-08-21,2608,QUADRATIC,0.3936838681512728,0.3287717011098669,0.2666899450154935,0.25256620606518887,0.28771813616136566,0.06208175609437344,0.010012686901314516,0.14111766208608395
2026-06-18,2026-09-18,2609,QUADRATIC,0.30515629176471326,0.28729773047752427,0.29132358108187023,0.3136395631015159,0.2832071449096257,-0.00402585060434596,0.0061035108700716045,-0.008483271336802656
2026-06-18,2026-12-18,2612,QUADRATIC,0.29447247585762715,0.2797516605953002,0.27834812612274146,0.2907637031934515,0.2745533513589967,0.001403534472558754,0.00449654200002414,0.0037087726641756302
2026-06-18,2027-03-19,2703,QUADRATIC,0.29493160713448874,0.4056930146016222,0.15379249143486154,0.0940641060082991,0.3385070199225197,0.2519005231667607,-0.05876426690427783,0.20086750112618962
2026-06-22,2026-07-17,2607,QUADRATIC,0.28183317616525344,0.27415079371143314,0.2811794451345689,0.2968214067564846,0.2738715699388786,-0.0070286514231357455,0.0037935494841223605,-0.014988230591231166
2026-06-22,2026-08-21,2608,QUADRATIC,0.4232214303909102,0.320493938420776,0.26648495525161137,0.2650135815405426,0.2799688164354774,0.05400898316916464,0.013520630400716327,0.1582078488503676
2026-06-22,2026-09-18,2609,QUADRATIC,0.3259798033782498,0.2971204419399744,0.2874150554019617,0.30183711493388893,0.2851306803282764,0.009705386538012672,0.007137068342691677,0.02414268844436085
2026-06-22,2026-12-18,2612,QUADRATIC,0.30852491322424747,0.2853945389145437,0.2752030155840441,0.28456522801462886,0.2744932560155318,0.010191523330499608,0.005805521233762045,0.02395968520961861
2026-06-22,2027-03-19,2703,QUADRATIC,0.28992653189021256,0.39525259431617793,0.1749956402467741,0.10833588040812558,0.3549744524074339,0.22025695406940382,-0.0698503351259579,0.18159065148208697
2026-06-23,2026-07-17,2607,QUADRATIC,0.27687369575959214,0.27639420987908736,0.2912450042418395,0.3075240986769077,0.28126630689816096,-0.014850794362752162,0.0025533001623024854,-0.030650402917315578
2026-06-23,2026-08-21,2608,QUADRATIC,0.2841751061160321,0.27784353504575005,0.2910433250440609,0.312872062845616,0.28030368564337643,-0.01319978999831084,0.004139744401529033,-0.02869695672958389
2026-06-23,2026-09-18,2609,QUADRATIC,0.30700343057319507,0.2920638013853673,0.29464220539106356,0.31220151989507183,0.28819855223024854,-0.0025784040056962554,0.005154451157966922,-0.005198089321876764
2026-06-23,2026-12-18,2612,QUADRATIC,0.29652303952272324,0.28433990370614637,0.28269216193831453,0.2925953315441687,0.2797279556067968,0.001647741767831834,0.0037880772154336717,0.003927707978554518
2026-06-23,2027-03-19,2703,QUADRATIC,0.3019683955934319,0.40862022009001003,0.15033988553593808,0.093222467385355,0.32001925299121636,0.25828033455407196,-0.04053920017824231,0.20874592820807691
2026-06-23,2027-06-18,2706,QUADRATIC,0.4923109933746579,0.4223926415424635,0.9231511884193437,1.8999333463752779,0.6603845281405681,-0.5007585468768803,0.012387386840335468,-1.40762235300062
2026-06-24,2026-07-17,2607,QUADRATIC,0.2629344440607686,0.26466324725237383,0.28264861782918327,0.29985590715719934,0.27137938009774387,-0.017985370576809434,0.0022765524430347073,-0.03692146309643074
2026-06-24,2026-08-21,2608,QUADRATIC,0.27619603691860506,0.2707792329604955,0.2840144206975615,0.3048210813574289,0.2735375451106603,-0.013235187737066001,0.0038592817183681905,-0.028625044438823855
2026-06-24,2026-09-18,2609,QUADRATIC,0.3053376911038627,0.28835784369906087,0.2904959003845409,0.3095036244098788,0.28377673150546706,-0.0021380566854800054,0.005650140536333781,-0.004165933306016056
2026-06-24,2026-12-18,2612,QUADRATIC,0.30738290708651383,0.28529283815960255,0.27899013394499905,0.2918901535357372,0.2762468251904003,0.006302704214603494,0.005894660861900547,0.015492753550776617
2026-06-24,2027-03-19,2703,QUADRATIC,0.2939531208781918,0.3990313127425448,0.16666275172956402,0.10343597085437412,0.3417891745892723,0.23236856101298076,-0.05894214235321793,0.1905171500238177
2026-06-24,2027-06-18,2706,QUADRATIC,0.4855983109666254,0.41581480307705404,0.8642250696401138,1.7962418711599875,0.624413870357677,-0.44841026656305977,0.01560606600090686,-1.3106435601933621
2026-06-25,2026-07-17,2607,QUADRATIC,0.25607454769423554,0.2565876100365611,0.27513870491433745,0.29502491643100204,0.2629630606183984,-0.018551094877776342,0.0029000968570508934,-0.038950368736766494
2026-06-25,2026-08-21,2608,QUADRATIC,0.268529411538945,0.2639367035163727,0.27995366928960586,0.30361026885137565,0.2678963681466499,-0.01601696577323314,0.004048818256339348,-0.03508085731243066
2026-06-25,2026-09-18,2609,QUADRATIC,0.29662177294388964,0.27931302501818395,0.284553727452237,0.30806825485691497,0.2758036499404868,-0.005240702434053057,0.006129726294723692,-0.01144648191302533
2026-06-25,2026-12-18,2612,QUADRATIC,0.2937959984751189,0.27643243708782544,0.276939475490214,0.29398809860874486,0.2713152720280767,-0.0005070384023885821,0.005370684260943004,-0.000192100133625972
2026-06-25,2027-03-19,2703,QUADRATIC,0.28995720749253173,0.3942177985464299,0.17456418639881133,0.10841151633858064,0.35148590843214966,0.21965361214761858,-0.06709491595952904,0.18154569115395108
2026-06-25,2027-06-18,2706,QUADRATIC,0.4060794991308516,0.41177000380545525,0.8266311177580024,1.705735583740104,0.6075471511742437,-0.4148611139525471,0.011653409607485066,-1.2996560846092524
2026-06-26,2026-07-17,2607,QUADRATIC,0.26042144032679365,0.25892288795666357,0.27777695685170933,0.30111956641545157,0.2646133881883778,-0.01885406889504576,0.003736534215808607,-0.040698126088657915
2026-06-26,2026-08-21,2608,QUADRATIC,0.26901044420215653,0.26669302290654234,0.28225573241922414,0.30206429052767975,0.2713143066763611,-0.015562709512681794,0.0031600709865221566,-0.03305384632552322
2026-06-26,2026-09-18,2609,QUADRATIC,0.2865356270913944,0.2771585964884558,0.2881296571275231,0.3106828836512182,0.2779790875491446,-0.010971060639067276,0.004665039258844872,-0.024147256559823804
2026-06-26,2026-12-18,2612,QUADRATIC,0.27914980157071434,0.2731404225132113,0.28097371544800925,0.2955282903067722,0.27414744800613433,-0.007833292934797953,0.002909620974475946,-0.01637848873605785
2026-06-26,2027-03-19,2703,QUADRATIC,0.30260463611403854,0.4059012176268396,0.1444762427645775,0.09023921027047736,0.3042967206339846,0.2614249748622621,-0.029107990438276055,0.21236542584356116
2026-06-26,2027-06-18,2706,QUADRATIC,0.3864031652197097,0.4123649592620032,0.795255402990803,1.6043316455785674,0.5981452662282208,-0.3828904437287998,0.005664914898182216,-1.2179284803588577
2026-06-29,2026-07-17,2607,QUADRATIC,0.2627195862025814,0.260879329001565,0.27819847625423005,0.29986829244467395,0.26593091302460153,-0.017319147252665035,0.0036079896032960024,-0.037148706242092544
2026-06-29,2026-08-21,2608,QUADRATIC,0.26609474643123554,0.26495508025397985,0.2856569299102443,0.3108769681260509,0.2716956729769497,-0.020701849656264426,0.0036103321051623727,-0.04478222169481538
2026-06-29,2026-09-18,2609,QUADRATIC,0.28973024647124945,0.2792516326617809,0.28840919791321273,0.30979562900835156,0.27907528921372243,-0.009157565251431854,0.004755126073774374,-0.020065382537102106
2026-06-29,2026-12-18,2612,QUADRATIC,0.28058878156227735,0.27553239619244213,0.2802096311146434,0.29009841857770485,0.275620105249931,-0.00467723492220129,0.002250908403611751,-0.009509637015427508
2026-06-29,2027-03-19,2703,QUADRATIC,0.30155243887027583,0.4011530920456686,0.14566511265541449,0.09167439761430601,0.2991609722222558,0.25548797939025414,-0.02575186987171424,0.20987804125596982
2026-06-29,2027-06-18,2706,QUADRATIC,0.37260913279163554,0.4043655656695418,0.756178719550685,1.5122660021263639,0.5743819013319418,-0.35181315388114326,0.005890241278171615,-1.1396568693347282
2026-06-30,2026-07-17,2607,QUADRATIC,0.26271664897366953,0.2567288861895546,0.2678512927513803,0.2869003917058619,0.2583079957171729,-0.011122406561825726,0.003982093753294558,-0.02418374273219237
2026-06-30,2026-08-21,2608,QUADRATIC,0.2636436617998542,0.25920284217789485,0.2766281911126452,0.3022318297638984,0.2636340352325352,-0.01742534893475034,0.004281481412734822,-0.038588167964044184
2026-06-30,2026-09-18,2609,QUADRATIC,0.28525636041838087,0.2747402611632372,0.28757541944683895,0.31422870377547396,0.27584609302890434,-0.012835158283601766,0.00531174727613376,-0.02897234335709309
2026-06-30,2026-12-18,2612,QUADRATIC,0.2823654907510717,0.27276524217672465,0.2784040300982449,0.2942211872028153,0.2717924410213693,-0.0056387879215202275,0.003792195116115449,-0.011855696451743614
2026-06-30,2027-03-19,2703,QUADRATIC,0.29997758162974053,0.30273811224133,0.25749561753645106,0.2277269033119488,0.2825382468517426,0.045242494704878955,-0.002421381962852076,0.07225067831779172
2026-06-30,2027-06-18,2706,QUADRATIC,0.33111165591586367,0.3065148973160827,0.44795639126357817,1.0178262824115474,0.3541251284917075,-0.14144149394749544,0.023110515798122955,-0.6867146264956837
2026-07-01,2026-07-17,2607,QUADRATIC,0.25628713140621706,0.25025430885940314,0.2619088852583149,0.2818440644132153,0.251974733721988,-0.011654576398911765,0.004106863336871047,-0.02555693300699824
2026-07-01,2026-08-21,2608,QUADRATIC,0.2686829356483358,0.2574362659188011,0.2660291377606717,0.2879579862081888,0.25669055587436207,-0.00859287184187063,0.005042145965374334,-0.019275050559853013
2026-07-01,2026-09-18,2609,QUADRATIC,0.29364742971012137,0.2737874872696721,0.27762716548003463,0.3018517318441431,0.269107809113572,-0.0038396782103625182,0.006599517261281385,-0.008204302134021735
2026-07-01,2026-12-18,2612,QUADRATIC,0.28996738073593864,0.27210491658121627,0.2735443735297231,0.29224055906520496,0.26723119849642335,-0.0014394569485068343,0.005593446559046311,-0.0022731783292663232
2026-07-01,2027-03-19,2703,QUADRATIC,0.293061710361286,0.29371754101241976,0.2610968485826891,0.2382331038747192,0.27911297102295085,0.03262069242973065,-0.001705776225396416,0.05482860648656679
2026-07-01,2027-06-18,2706,QUADRATIC,0.2780805324264384,0.3025581100675005,0.3451439498586783,0.35155599418410144,0.3325148436287256,-0.042585839791177804,-0.008663813665636177,-0.07347546175766306
2026-07-02,2026-07-17,2607,QUADRATIC,0.27083213297689107,0.2602831480772352,0.26927803209723944,0.2911002726884196,0.259686907645301,-0.008994884020004257,0.005093682441936309,-0.02026813971152852
2026-07-02,2026-08-21,2608,QUADRATIC,0.27221046043525604,0.26440791915454637,0.2751227172285046,0.2956940943146106,0.26545752915120474,-0.010714798073958254,0.004307789040320753,-0.023483633879354537
2026-07-02,2026-09-18,2609,QUADRATIC,0.2935667978055275,0.27783122803997423,0.28494841653027164,0.30947216098381275,0.2753983807992499,-0.00711718849029741,0.00599144148587305,-0.015905363178285226
2026-07-02,2026-12-18,2612,QUADRATIC,0.2827459930681317,0.27285681984152915,0.27747910628466443,0.29236898286678403,0.27139804180409693,-0.004622286443135282,0.003769921258999831,-0.009622989798652337
2026-07-02,2027-03-19,2703,QUADRATIC,0.2792386750516218,0.3061425430164351,0.2461762497105783,0.19958734831192265,0.2897448572033968,0.059966293305856816,-0.013585460839890096,0.07965132673969916
2026-07-02,2027-06-18,2706,QUADRATIC,0.2814244839606482,0.31502987686979933,0.32567727217493797,0.292327795908657,0.3377483176057294,-0.01064739530513864,-0.017394743083360698,-0.01090331194800881
2026-07-03,2026-07-17,2607,QUADRATIC,0.25647733579857185,0.2466846823115753,0.25450307907080255,0.27397299589534013,0.24593642032068005,-0.007818396759227242,0.004657460370508876,-0.017495660096768284
2026-07-03,2026-08-21,2608,QUADRATIC,0.2616174904973317,0.2537767162879837,0.26629668013724433,0.2896307774107374,0.2554024936806357,-0.012519963849260629,0.00463420453197827,-0.02801328691340571
2026-07-03,2026-09-18,2609,QUADRATIC,0.2864564733378425,0.2717250108413848,0.27962252108112884,0.3042350183957437,0.2698455384005749,-0.007897510239744054,0.005828227560681909,-0.017778545057901163
