"OBJECT_ID","S_INFO_WINDCODE","TRADE_DT","S_DQ_OPEN","S_DQ_HIGH","S_DQ_LOW","S_DQ_CLOSE","S_DQ_SETTLE","S_DQ_VOLUME","S_DQ_AMOUNT","S_DQ_OI","S_DQ_OICHANGE","S_DQ_PRESETTLE","S_DQ_CHANGE1","S_DQ_CHANGE2","S_DQ_PCTCHANGE1","S_DQ_PCTCHANGE2","OPDATE","OPMODE"
{01A4AEE4-F8AE-407C-88BE-2D04B4DF16A5},MO2606-P-9300.CFE,"20260601",937.2,998.4,877.8,996.4,996.4,176,1662.16,219,40,993.8,2.6,2.6,0.26,0.26,2026-06-01 16:30:52,"1"
{0B138932-C2F8-4900-A00F-D69C13092466},MO2606-P-9800.CFE,"20260601",1428.2,1496.2,1357.8,1486,1486.8,114,1651.238,118,4,1486.6,-0.6,0.2,-0.04,0.01,2026-06-01 16:30:52,"1"
{02A57B02-F5EA-43E8-86E2-38F554FE65A2},MO2606-C-8100.CFE,"20260601",355,420,321.4,327.8,327.8,2326,8421.668,1314,73,347.6,-19.8,-19.8,-5.7,-5.7,2026-06-01 16:30:52,"1"
{03A26169-2D26-42E7-B40E-5F9351CCF23A},MO2607-P-7900.CFE,"20260601",164,186.6,136,176.4,176.4,808,1320.938,880,24,173.2,3.2,3.2,1.85,1.85,2026-06-01 16:30:52,"1"
{0CBB583D-81D7-4749-871D-6A7FC511F376},MO2606-P-8000.CFE,"20260601",69,94.8,50,83.6,83.6,19779,13974.276,10856,158,80.6,3,3,3.72,3.72,2026-06-01 16:30:52,"1"
{0CC47127-4153-41DD-84E5-3B52111AE52B},MO2608-P-7900.CFE,"20260601",245.4,288.2,245.4,288.2,288.8,23,63.616,82,-1,282,6.2,6.8,2.2,2.41,2026-06-01 16:30:52,"1"
{1ABFD004-CBA6-4128-9CFB-030CD1AFCC9E},MO2608-C-9700.CFE,"20260601",66.2,71,61,61,63.2,151,99.99,136,-5,66.2,-5.2,-3,-7.85,-4.53,2026-06-01 16:30:52,"1"
{23B02E75-6780-4BE0-822F-5D882E175792},MO2703-P-9000.CFE,"20260601",,,,1475,1552.8,0,0,56,0,1540.8,-65.8,12,-4.27,0.78,2026-06-01 16:30:52,"1"
{2CC8C80E-AB50-4647-AF5C-325C5A7AF2CC},MO2607-P-8500.CFE,"20260601",422.4,474.2,379,469.6,469.6,735,3180.632,1013,53,454.8,14.8,14.8,3.25,3.25,2026-06-01 16:30:52,"1"
{2CD5C918-8AC1-463C-BEB5-13B678EC5831},MO2606-C-7200.CFE,"20260601",1171.6,1248.4,1105.2,1121.6,1120.6,148,1722.802,865,1,1139.8,-18.2,-19.2,-1.6,-1.68,2026-06-01 16:30:52,"1"
{3F833FA8-CE06-4D50-9000-D3384A42AFBD},MO2607-P-9900.CFE,"20260601",1646.8,1674.2,1547,1664.8,1659.8,64,1043.416,99,24,1673,-8.2,-13.2,-0.49,-0.79,2026-06-01 16:30:52,"1"
{52509059-D73E-4535-A1BF-046EAC9264D5},MO2606-C-9800.CFE,"20260601",3.4,4.2,2.8,3.2,3.2,1369,46.724,3584,313,2.4,0.8,0.8,33.33,33.33,2026-06-01 16:30:52,"1"
{5B4C7E56-6A32-4FF0-B773-DD6B0D02635F},MO2608-C-7500.CFE,"20260601",874.6,914.2,858,866.2,857.6,5,43.81,5,5,868.6,-2.4,-11,-0.28,-1.27,2026-06-01 16:30:52,"1"
{5B940DEF-0DAD-42EE-8F60-217605875237},MO2608-P-8200.CFE,"20260601",394.4,429.4,360.6,421,421,58,233.038,70,18,416.2,4.8,4.8,1.15,1.15,2026-06-01 16:30:52,"1"
{6DD6F940-C60A-4808-8B0E-9FE68055CDE3},MO2608-C-9200.CFE,"20260601",127.2,132,114,117.4,115.8,46,56.98,122,8,123.2,-5.8,-7.4,-4.71,-6.01,2026-06-01 16:30:52,"1"
{7F9419A1-D3B5-438F-8759-8F51F3A1327C},MO2607-C-9600.CFE,"20260601",32.4,32.4,24.6,28,28,128,36.434,668,28,30.4,-2.4,-2.4,-7.89,-7.89,2026-06-01 16:30:52,"1"
{90FEDA47-976A-45E0-8D18-A73483FF1A66},MO2609-C-6800.CFE,"20260601",1466.8,1466.8,1389.6,1390,1382.4,6,84.218,364,0,1392.8,-2.8,-10.4,-0.2,-0.75,2026-06-01 16:30:52,"1"
{A3875123-6E76-4D24-8483-68EBB94CE718},MO2607-C-7500.CFE,"20260601",868.8,936.2,846.6,846.6,827,15,129,55,1,849,-2.4,-22,-0.28,-2.59,2026-06-01 16:30:52,"1"
{ACC7B325-BF1A-4C19-B579-E8BFEA04485B},MO2609-P-7600.CFE,"20260601",234.6,267,221,262,262,749,1832.564,2116,93,255.8,6.2,6.2,2.42,2.42,2026-06-01 16:30:52,"1"
{B5C64F97-351C-4415-97AB-3E33A2495D76},MO2609-P-6800.CFE,"20260601",79,86,70.6,80.8,80.8,146,114.6,1134,12,82,-1.2,-1.2,-1.46,-1.46,2026-06-01 16:30:52,"1"
{C7D0E288-F6EC-4117-9FFB-A234AC8FA4A5},MO2607-C-7800.CFE,"20260601",628.2,668.8,590,593.4,593.4,46,285.296,205,2,602,-8.6,-8.6,-1.43,-1.43,2026-06-01 16:30:52,"1"
{C7F895BF-0ACC-46B0-A52D-31DD49811D94},MO2703-P-8200.CFE,"20260601",954.6,1003.2,929.6,993.2,997.6,30,294.036,364,16,988.2,5,9.4,0.51,0.95,2026-06-01 16:30:52,"1"
{D99DC1F6-5C90-44D4-8070-1F2110A10FD6},MO2606-P-5600.CFE,"20260601",1,1,1,1,1,1,0.01,1260,1,1.2,-0.2,-0.2,-16.67,-16.67,2026-06-01 16:30:52,"1"
{E218985B-6C08-44A2-9D25-B11AFC6C808E},MO2607-C-7700.CFE,"20260601",703.2,767.6,666.8,666.8,666.8,15,105.39,62,-2,689.8,-23,-23,-3.33,-3.33,2026-06-01 16:30:52,"1"
{E25D910D-5FFA-4FF2-A3AE-0B2D1EC7CB69},MO2609-P-8000.CFE,"20260601",391.4,430.2,364.6,429,429,771,3076.698,1521,32,415,14,14,3.37,3.37,2026-06-01 16:30:52,"1"
{EB77C65A-4FD7-4605-BA0C-9D95D9A4A3FE},MO2612-P-9000.CFE,"20260601",1323.4,1347,1317,1347,1337.4,28,371.882,680,8,1327.2,19.8,10.2,1.49,0.77,2026-06-01 16:30:52,"1"
{F3E3A571-C175-4A1D-B05C-1C149642A225},MO2609-C-9000.CFE,"20260601",200.8,213.8,183,189,191.6,761,1499.182,2307,4,192.2,-3.2,-0.6,-1.66,-0.31,2026-06-01 16:30:52,"1"
{FCFCB707-E37E-4451-891F-494056F59C48},MO2607-P-8400.CFE,"20260601",367.6,414,325,408.6,408.6,1093,4077.214,1215,114,396.8,11.8,11.8,2.97,2.97,2026-06-01 16:30:52,"1"
{FCFD2788-8E55-4671-A360-1C5DFBDED96B},MO2703-P-7600.CFE,"20260601",631,653.8,604.8,653.8,646,16,101.728,330,2,653.6,0.2,-7.6,0.03,-1.16,2026-06-01 16:30:52,"1"
{FD2868B1-6EF8-4248-BAB5-4FBF27FE4CC7},MO2606-P-5200.CFE,"20260601",0.6,0.8,0.6,0.8,0.8,26,0.206,2330,0,0.8,0,0,0,0,2026-06-01 16:30:52,"1"
{FD44A4F3-3F33-4CE0-B49A-FAC4E8602477},MO2607-P-9600.CFE,"20260601",1348.2,1374.8,1261.6,1374.2,1374.2,23,311.658,91,5,1385.8,-11.6,-11.6,-0.84,-0.84,2026-06-01 16:30:52,"1"
{12043D22-DF43-40D8-BED1-2CD3AA404FD7},MO2608-P-9500.CFE,"20260601",1318.6,1379.4,1318.6,1379.4,1379.4,6,81.24,3,1,1364.6,14.8,14.8,1.08,1.08,2026-06-01 16:30:52,"1"
{2D338201-25B6-4EE7-98B7-1183F6423CBA},MO2703-C-10000.CFE,"20260601",175.8,181.2,168,169.4,169.4,416,722.638,726,70,170.6,-1.2,-1.2,-0.7,-0.7,2026-06-01 16:30:52,"1"
{2D7164D9-949D-4600-96C0-536A9B42CDD9},MO2609-C-8800.CFE,"20260601",243.4,263.6,227.4,232.4,232.4,617,1499.29,1677,-41,235.8,-3.4,-3.4,-1.44,-1.44,2026-06-01 16:30:52,"1"
{3FDB63D9-A4FC-49CC-91D7-194EE0E0414C},MO2607-C-8600.CFE,"20260601",192.6,221,175,185,185,1521,2988.74,2365,266,192.2,-7.2,-7.2,-3.75,-3.75,2026-06-01 16:30:52,"1"
{40170816-FE2D-4C07-8CE0-DB963D873F62},MO2608-P-8100.CFE,"20260601",316.4,369.2,316.4,369.2,372.8,8,27.652,89,2,365.6,3.6,7.2,0.98,1.97,2026-06-01 16:30:52,"1"
{533F8BB6-9196-4FC4-82BF-2B2EE840C9F3},MO2606-C-7000.CFE,"20260601",1362.6,1448,1303.6,1303.6,1318.2,114,1539.242,507,-3,1319.6,-16,-1.4,-1.21,-0.11,2026-06-01 16:30:52,"1"
{6E26CD1D-2C7E-4604-8A27-56F992778333},MO2608-P-8700.CFE,"20260601",711.8,711.8,641,641,725.4,12,83.446,144,6,715.2,-74.2,10.2,-10.37,1.43,2026-06-01 16:30:52,"1"
{6E554379-C59D-4306-ACE3-35821A13A535},MO2606-C-5800.CFE,"20260601",2580.4,2630.6,2515.4,2528.6,2514.6,58,1482.046,165,0,2527,1.6,-12.4,0.06,-0.49,2026-06-01 16:30:52,"1"
{7707E0E8-E9D9-4EDA-B5CB-583C554D00C4},MO2606-P-5800.CFE,"20260601",1.4,1.4,1.2,1.2,1,15,0.182,1405,-6,1.2,0,-0.2,0,-16.67,2026-06-01 16:30:52,"1"
{88E91BE6-C9DA-4D06-856E-B3FA67E3CD66},MO2609-P-8800.CFE,"20260601",919.6,922.8,830.8,922.8,922.8,42,377.646,801,-25,907,15.8,15.8,1.74,1.74,2026-06-01 16:30:52,"1"
{91D0AACE-E1F8-4992-B8CB-D34382427BE8},MO2703-C-8800.CFE,"20260601",391.2,409,386,386,386,19,75.524,396,0,385,1,1,0.26,0.26,2026-06-01 16:30:52,"1"
{9B3AC79A-1AE4-4DDC-A6DF-A56A16DC1080},MO2612-P-8600.CFE,"20260601",1039.4,1044.8,972.6,1041,1046.4,81,820.758,407,11,1039.6,1.4,6.8,0.13,0.65,2026-06-01 16:30:52,"1"
{A45A9C38-B700-4369-84AF-D13CAF2B571E},MO2609-C-8400.CFE,"20260601",370,402.6,347.6,358,358,1086,4038.302,2269,76,357,1,1,0.28,0.28,2026-06-01 16:30:52,"1"
{A45AEA49-EC79-48BE-B118-A4BD2690BA63},MO2608-C-7600.CFE,"20260601",822.4,822.4,785.4,785.4,783,12,95.486,12,-2,797,-11.6,-14,-1.46,-1.76,2026-06-01 16:30:52,"1"
{AD474D9E-A3DE-421F-8C09-5BBC061AD025},MO2609-C-9200.CFE,"20260601",162.8,171.6,147.4,151.8,151.8,540,852.91,1343,-10,154.6,-2.8,-2.8,-1.81,-1.81,2026-06-01 16:30:52,"1"
{B661DA8C-54F6-4DAB-A0D6-A27CC144F005},MO2606-C-9700.CFE,"20260601",4,4.6,3,3.4,3.4,1627,64.128,3000,25,3.8,-0.4,-0.4,-10.53,-10.53,2026-06-01 16:30:52,"1"
{BF7CC038-B916-45CC-905B-61DF926790C7},MO2608-P-7600.CFE,"20260601",181,196.4,159,188,192.8,284,517.284,789,67,191.2,-3.2,1.6,-1.67,0.84,2026-06-01 16:30:52,"1"
{C8823382-EF9F-4C78-81D2-47D37157DDB4},MO2612-C-8000.CFE,"20260601",619.4,657.8,593.4,595.2,601.8,59,360.23,1115,-12,597.8,-2.6,4,-0.43,0.67,2026-06-01 16:30:52,"1"
{C8862337-8091-42DD-B1CA-7BEDC8B2B014},MO2606-P-7700.CFE,"20260601",26.8,34.8,16,27.4,27.4,4176,955.306,5283,-24,27.6,-0.2,-0.2,-0.72,-0.72,2026-06-01 16:30:52,"1"
{D17BCC5E-D088-4121-8581-B10C5263F284},MO2609-P-6600.CFE,"20260601",57.8,62.6,52.6,60.2,59.2,93,54.166,802,9,61.8,-1.6,-2.6,-2.59,-4.21,2026-06-01 16:30:52,"1"
{E2BA0278-0E7A-4966-8AD9-332BA77E477E},MO2609-C-7600.CFE,"20260601",811.2,826.6,759.8,761,761,70,544.672,1061,21,773,-12,-12,-1.55,-1.55,2026-06-01 16:30:52,"1"
{EBA8FF4F-FA60-4C1E-B0A6-3EEB32B16795},MO2606-P-7500.CFE,"20260601",12,15.4,6.8,11.6,11.6,3439,350.048,4979,-67,12.4,-0.8,-0.8,-6.45,-6.45,2026-06-01 16:30:52,"1"
{FDB71910-D70B-489C-8B56-0EDD911984B4},MO2607-P-8600.CFE,"20260601",486.4,536.8,442.4,536.6,536.6,567,2811.616,1030,-56,530,6.6,6.6,1.25,1.25,2026-06-01 16:30:52,"1"
{128C32E1-47A4-4A56-B219-D737671016BF},MO2608-C-9500.CFE,"20260601",83.4,91.4,79.2,79.2,79.2,49,41.336,162,5,83.6,-4.4,-4.4,-5.26,-5.26,2026-06-01 16:30:52,"1"
{1BEBD9A5-5A3A-403E-9078-E378A08CA0B6},MO2606-C-9600.CFE,"20260601",5.4,5.4,3.8,4.2,4.2,1401,65.166,5516,-163,4.8,-0.6,-0.6,-12.5,-12.5,2026-06-01 16:30:52,"1"
{1BFFEF1D-12DA-4EF3-BD53-5F5EA2776554},MO2608-C-9400.CFE,"20260601",94.2,103.6,88.8,93.4,90.4,62,59.604,82,3,94.2,-0.8,-3.8,-0.85,-4.03,2026-06-01 16:30:52,"1"
{1C0324C9-A1FB-4032-919D-CAD4644B0F9A},MO2609-C-6200.CFE,"20260601",2047.4,2047.4,1931.8,1931.8,1924.8,13,253.744,340,1,1943.6,-11.8,-18.8,-0.61,-0.97,2026-06-01 16:30:52,"1"
{1C167681-4E14-45DE-8149-943DF4CD0040},MO2606-P-6700.CFE,"20260601",1.4,1.6,1.2,1.4,1.4,112,1.566,548,0,1.6,-0.2,-0.2,-12.5,-12.5,2026-06-01 16:30:52,"1"
{2DDA545E-8E21-454C-B21E-2DF0986231BA},MO2703-C-7400.CFE,"20260601",944.6,968.4,902.6,902.6,920.2,13,121.618,169,1,921.2,-18.6,-1,-2.02,-0.11,2026-06-01 16:30:52,"1"
{2E245081-81C5-4766-97A1-DCB03BC59B4B},MO2606-P-7000.CFE,"20260601",2.6,3.8,2.4,2.8,2.8,785,22.618,3114,56,3.2,-0.4,-0.4,-12.5,-12.5,2026-06-01 16:30:52,"1"
{40CD5A31-FC17-4F8C-BB25-DCFE7930A812},MO2612-P-7200.CFE,"20260601",316.8,333.4,298.6,323,323,98,315.066,948,5,322.6,0.4,0.4,0.12,0.12,2026-06-01 16:30:52,"1"
{5C8EBEFA-AAD5-4EF3-AB11-F90345E03C89},MO2612-C-9000.CFE,"20260601",280,296.6,263.2,267.8,267.6,160,446.868,876,50,272,-4.2,-4.4,-1.54,-1.62,2026-06-01 16:30:52,"1"
{654A0118-3ABC-4628-8A6C-79B41F03438D},MO2608-C-7800.CFE,"20260601",648,648,637.6,637.6,644.6,9,58.696,18,-1,657.6,-20,-13,-3.04,-1.98,2026-06-01 16:30:52,"1"
{6589C707-9B08-4324-9DE6-4E36E3B091A6},MO2608-P-9300.CFE,"20260601",1159.4,1203.2,1159.4,1203.2,1203.2,11,130.638,9,1,1188.8,14.4,14.4,1.21,1.21,2026-06-01 16:30:52,"1"
{6F04C482-A04A-43AC-8A5A-AE0339891ECC},MO2608-P-7800.CFE,"20260601",231.2,253.2,210.6,249,254.2,132,317.406,282,9,249.4,-0.4,4.8,-0.16,1.92,2026-06-01 16:30:52,"1"
{77B3A609-5481-4548-8447-0D175D5BC0F7},MO2612-P-6600.CFE,"20260601",163.4,173,152,168,167,176,289.268,950,-25,169.8,-1.8,-2.8,-1.06,-1.65,2026-06-01 16:30:52,"1"
{8945CB69-0CCD-4334-9D68-2D5E3C469174},MO2703-C-6800.CFE,"20260601",1302,1302,1302,1302,1272.6,2,25.788,54,-1,1276.8,25.2,-4.2,1.97,-0.33,2026-06-01 16:30:52,"1"
{894A5965-F739-47BD-93C2-2B73B45C42F1},MO2609-C-6400.CFE,"20260601",1776.2,1776.2,1760.2,1761.4,1736.8,6,105.856,211,0,1755.8,5.6,-19,0.32,-1.08,2026-06-01 16:30:52,"1"
{89B5312E-E58C-431F-8C06-2108767A0973},MO2606-P-9400.CFE,"20260601",1044.8,1104.4,958.6,1086.2,1089.8,159,1653.06,331,19,1091.4,-5.2,-1.6,-0.48,-0.15,2026-06-01 16:30:52,"1"
{925346C6-5885-4290-8C30-DAB7220B9ADF},MO2609-C-7400.CFE,"20260601",940.6,967.4,897.2,910.8,905,19,176.38,708,3,914.2,-3.4,-9.2,-0.37,-1.01,2026-06-01 16:30:52,"1"
{A4AE56DF-CC15-416D-813E-96F22097244E},MO2606-C-8700.CFE,"20260601",86,99,70.6,71.2,71.2,12705,10507.85,9315,-104,78.8,-7.6,-7.6,-9.64,-9.64,2026-06-01 16:30:52,"1"
{A4DE6A54-9482-49F7-9D67-7859C589EF40},MO2606-C-6000.CFE,"20260601",2380.2,2406.2,2302,2302,2315,58,1363.26,261,1,2316.2,-14.2,-1.2,-0.61,-0.05,2026-06-01 16:30:52,"1"
{D1EF93DC-13A0-442B-A1C6-8AC7EB467B2A},MO2606-C-7300.CFE,"20260601",1069.4,1150,1007.8,1023.6,1022.6,117,1248.092,154,14,1024.2,-0.6,-1.6,-0.06,-0.16,2026-06-01 16:30:52,"1"
{E312921D-F476-4556-860E-FF237A60C73E},MO2609-P-9000.CFE,"20260601",1047.6,1063.2,1047.6,1063.2,1075.4,2,21.108,357,2,1049.6,13.6,25.8,1.3,2.46,2026-06-01 16:30:52,"1"
{F4E4F2EC-660B-46E2-990C-2F31BF016868},MO2607-C-9200.CFE,"20260601",71.6,71.6,54.8,60,60,283,179.036,689,41,64,-4,-4,-6.25,-6.25,2026-06-01 16:30:52,"1"
{1C9BF09C-B364-4E46-BD90-53498CB554DC},MO2612-C-8200.CFE,"20260601",539,561.6,506,510.8,510.8,138,731.37,1343,-11,512.8,-2,-2,-0.39,-0.39,2026-06-01 16:30:52,"1"
{2E92B0FD-5B2D-4EFA-9A13-994EF569B44E},MO2703-P-9200.CFE,"20260601",,,,1463.2,1708.6,0,0,31,0,1695.6,-232.4,13,-13.71,0.77,2026-06-01 16:30:52,"1"
{37DFA338-84DC-43C4-8996-A3B65B8B38DE},MO2606-C-6700.CFE,"20260601",1664.4,1747.4,1609.6,1664.4,1616.4,83,1369.752,79,3,1617.6,46.8,-1.2,2.89,-0.07,2026-06-01 16:30:52,"1"
{4A62ACB0-46CE-40A6-A18C-42C10D968BB7},MO2608-P-8300.CFE,"20260601",447.6,477.4,414,476.6,476.6,26,119.298,81,6,466,10.6,10.6,2.27,2.27,2026-06-01 16:30:52,"1"
{5D063AD7-8C85-4F2D-8927-AF8B303E424C},MO2607-P-8200.CFE,"20260601",269.2,308.8,234,299.2,299.2,1224,3346.486,1134,74,291.2,8,8,2.75,2.75,2026-06-01 16:30:52,"1"
{AE908A23-81B5-4D36-A5B9-BB66652619D8},MO2612-P-10000.CFE,"20260601",,,,1977.8,2172.2,0,0,70,0,2158.8,-181,13.4,-8.38,0.62,2026-06-01 16:30:52,"1"
{D285FE63-86AC-41C0-94CF-BAAB763D53CA},MO2606-P-9600.CFE,"20260601",1281.6,1299,1168.2,1282.6,1287.2,173,2145.332,231,-51,1288.4,-5.8,-1.2,-0.45,-0.09,2026-06-01 16:30:52,"1"
{E412681B-7FFC-4720-A6FD-943CCFEB2F38},MO2606-P-8200.CFE,"20260601",140,164.6,95.6,150.8,150.8,12927,16790.012,6810,-268,145,5.8,5.8,4,4,2026-06-01 16:30:52,"1"
{1D52F8CE-14DD-4DFA-84E9-5A87DF50D7C6},MO2606-P-8100.CFE,"20260601",91,125.8,70,114,114,8993,8709.708,4932,37,109.4,4.6,4.6,4.2,4.2,2026-06-01 16:30:52,"1"
{262843E8-E8A0-432C-8874-7E458A3E4C64},MO2606-P-8800.CFE,"20260601",521,553.4,421.6,540,540,1653,8133.378,3767,-134,521,19,19,3.65,3.65,2026-06-01 16:30:52,"1"
{2F0F9F89-2467-400E-A0AB-557B591E35BC},MO2608-C-7900.CFE,"20260601",600,610.6,582.8,582.8,581.2,10,59.394,102,0,593.6,-10.8,-12.4,-1.82,-2.09,2026-06-01 16:30:52,"1"
{38A912A0-9870-4546-954B-85AD72D5193D},MO2607-C-9700.CFE,"20260601",27.4,27.4,19.8,22.4,22.4,229,55.174,567,-59,25.2,-2.8,-2.8,-11.11,-11.11,2026-06-01 16:30:52,"1"
{6FD2472C-BC97-44C4-A966-4223424DF55E},MO2607-C-9900.CFE,"20260601",18,19,12.4,15.6,15.6,965,151.774,1467,44,18,-2.4,-2.4,-13.33,-13.33,2026-06-01 16:30:52,"1"
{787F2B72-DF95-4D42-AE50-54E877E3C392},MO2612-C-6800.CFE,"20260601",,,,1401,1312.8,0,0,128,0,1335.2,65.8,-22.4,4.93,-1.68,2026-06-01 16:30:52,"1"
{7892ACDC-F215-448D-A0A1-E3402B7A779B},MO2606-P-8500.CFE,"20260601",279.8,327.2,221.2,313.2,313.2,10135,27729.846,6830,-61,296.4,16.8,16.8,5.67,5.67,2026-06-01 16:30:52,"1"
{9CE18764-E7FB-410F-813D-B8B05884FFBA},MO2612-C-7200.CFE,"20260601",1095.8,1100.2,1058,1060,1041.4,5,54.07,799,-1,1041.2,18.8,0.2,1.81,0.02,2026-06-01 16:30:52,"1"
{AED4A03F-1A11-43CD-8B72-05FC1C1BDDBF},MO2612-C-6600.CFE,"20260601",,,,1468,1466,0,0,108,0,1468,0,-2,0,-0.14,2026-06-01 16:30:52,"1"
{AF3ADEF1-2B6A-40C5-8A67-4D2E348D0672},MO2608-C-9100.CFE,"20260601",141.2,152.6,131.8,131.8,131.8,81,116.884,205,49,137.8,-6,-6,-4.35,-4.35,2026-06-01 16:30:52,"1"
{C10C58D8-34DE-4D4B-9D9C-68A5A9CD6D51},MO2606-P-9500.CFE,"20260601",1139.8,1200,1059.8,1192.2,1188,182,2085.532,209,-66,1189.6,2.6,-1.6,0.22,-0.13,2026-06-01 16:30:52,"1"
{CA3BFF9A-5EAF-474B-8BEB-2F1BB36AEC99},MO2703-C-8200.CFE,"20260601",588.4,596,557,557,570.2,15,87.16,268,3,569,-12,1.2,-2.11,0.21,2026-06-01 16:30:52,"1"
{E4849AB7-FF5C-4831-B685-0E7D06510190},MO2609-P-8400.CFE,"20260601",616,650.2,565.6,649,649,479,2934.058,1151,12,632,17,17,2.69,2.69,2026-06-01 16:30:52,"1"
{E490BFEF-2D82-4D67-8B13-90479D26580E},MO2606-C-8300.CFE,"20260601",229.6,280.4,208,212.6,212.6,8284,19610.82,3135,296,226,-13.4,-13.4,-5.93,-5.93,2026-06-01 16:30:52,"1"
{E4D79072-3EDF-4FDB-82AC-7E50EC723AEF},MO2608-C-9000.CFE,"20260601",159.8,173.4,148.2,152,152,61,97.032,294,-11,158.4,-6.4,-6.4,-4.04,-4.04,2026-06-01 16:30:52,"1"
{27197CD5-3EDD-4B9D-A315-8DBD42932C5F},MO2703-P-7000.CFE,"20260601",386,396,367.8,396,393,60,229.004,475,34,391,5,2,1.28,0.51,2026-06-01 16:30:52,"1"
{2F5F9FB2-5A63-4711-919A-CEF74FF3CDEE},MO2609-C-7000.CFE,"20260601",1300,1300,1200.2,1206,1206,14,173.084,933,0,1220,-14,-14,-1.15,-1.15,2026-06-01 16:30:52,"1"
{2FF069BB-2629-4F83-8A16-00A5A61A09F1},MO2606-C-7100.CFE,"20260601",1266.6,1313.6,1205.6,1231.8,1216.8,112,1409.824,258,3,1238.4,-6.6,-21.6,-0.53,-1.74,2026-06-01 16:30:52,"1"
{39538F6C-9569-465B-A6AE-EF2D73103E2A},MO2606-P-9700.CFE,"20260601",1347.2,1390.8,1274.8,1372.2,1386.6,165,2218.668,93,-12,1387.4,-15.2,-0.8,-1.1,-0.06,2026-06-01 16:30:52,"1"
{5E2228E8-0AC5-4F06-8E53-08AF174B4C64},MO2607-C-8900.CFE,"20260601",122.6,128.8,100.4,107.8,107.8,524,604.286,610,33,113.2,-5.4,-5.4,-4.77,-4.77,2026-06-01 16:30:52,"1"
{6717C681-91E7-4770-93C7-CD274CFA4AC9},MO2606-C-9300.CFE,"20260601",12.4,12.6,8.8,9.2,9.2,3213,335.324,5330,253,11,-1.8,-1.8,-16.36,-16.36,2026-06-01 16:30:52,"1"
{708DC4B0-1DA2-4255-8CC5-066AF93E21C9},MO2606-C-8400.CFE,"20260601",183.6,223.4,162.2,166,166,18808,35088.102,7537,102,176.6,-10.6,-10.6,-6,-6,2026-06-01 16:30:52,"1"
{8B52A746-4BA5-49B5-853D-15E63BF73AFF},MO2609-P-9400.CFE,"20260601",1387.2,1387.2,1370,1384.2,1403.4,4,55.132,207,2,1398.4,-14.2,5,-1.02,0.36,2026-06-01 16:30:52,"1"
